category,description
Featured,The ones I keep coming back to.
Nothing more than Human,"The collapse and reconstruction of identity. Portraits of alienation, burnout, desire, and the violence of existing in a body that both protects and betrays you."
Animalia Forms,"Animals can act as metaphorical mirrors, serving as a reminder of the fundamental human motivations to survive, to wait, and to simply be alive."
Echoes of Distance,Horizons at the edge of perception. Distance turns out to be something you can stand inside of.
Watercolor Sketches,"Weather, silence, and disappearing horizons — with the water doing most of the deciding."
Between Waking,"Where nothing is fixed, everything is possible. Between waking is where I learn to let go."
Abstract Forms,"No object, no scene. Only structure, tension, and the shapes that thinking makes on its way through."
Imaginaerum,"Places that never existed, rehearsed so many times they became landscape."
Daydwellers,Those who live in daydreams.
Subconscious,What the mind does when it stops performing.
Underwater,"Breathing where you shouldn't be able to. Weightless, watched, and still alive."
Fragile Systems,"Flowers, structures, and small organisms holding together far longer than they should."
Sketches,"Quick captures of what it feels like to be alive right now. No polish, no performance, just the hand trying to keep up with the feeling."
Drawings,"Landscapes that are really states of consciousness. Pencil and marker, taking their time."
Monochrome,"One color, or none at all. What's left when color stops helping."
Journal Pages,Sketchbook mornings. Whatever the page happened to be for that day.
Boston,"The city I learned to call home, in the hours when it's quiet enough to notice."
Postcards,Pieces of Life.
Messages to Nowhere,"Things I needed to say out loud, addressed to no one in particular."
And this is Still Life,Objects holding still just long enough to be looked at properly.
Handmade,"Handmade Objects Bearing Weight, Memory, and Intention."
